Z,band1,band2,band3
1.75,4.62415722,5.740931087,5.111755621
2.400000095,4.506900043,5.433538668,4.539843638
4.460000038,3.036279463,5.072624632,4.641581732
6.78000021,2.876866145,4.486259697,3.290397065
6.849999905,2.774067703,4.264124788,3.018055653
3.74000001,3.122912645,4.897989499,4.117822612
3.859999895,3.685758582,5.599932129,5.216587225
6.380000114,3.404373156,4.608879869,2.944430653
4.170000076,3.477021779,5.026984797,4.076170969
2.769999981,3.871589375,5.431276856,4.770563501
1.679999948,4.420295031,5.059373087,3.961680669
3.819999933,3.547687033,5.129785858,4.26382847
2.880000114,4.02538357,5.328393107,4.444211359
1.450000048,5.247115625,5.860331224,5.088952991
10.44999981,2.494438065,4.365609952,3.986905574
2.329999924,4.784328312,5.758090493,5.106446439
5.380000114,2.817357488,4.865482635,4.172973142
5.800000191,3.052821421,4.605235856,3.181163429
5.090000153,3.336856323,4.796772738,3.570347611
4.670000076,2.955833885,5.010108479,4.545689567
1.779999971,3.736051955,4.8006289,3.514942182
2.309999943,4.195555775,4.671329337,2.081313992
5.570000172,3.525160309,4.762465308,3.542938749
3.309999943,3.549448484,5.030155716,4.141347073
2.400000095,3.806911192,4.477886223,1.531319359
3.890000105,3.708308799,4.794136637,2.645535846
5.019999981,3.028454136,4.709612845,3.505280222
2,4.757299321,5.342532158,4.221523487
4.480000019,2.980129902,4.874082245,4.30287706
2.910000086,3.965799432,5.317718646,4.567088705
1.679999948,3.872213812,5.667112859,5.252721335
2.49000001,3.71192883,4.641317553,2.640057018
3.549999952,3.364571887,5.387312702,4.917609693
4.5,3.519298811,5.471429658,5.051147897
4.289999962,4.2853098,4.550452188,1.627948229
2.25,4.36584626,4.701908075,0.938999082
3.910000086,4.209776988,5.2803015,4.584270548
5.800000191,3.189119495,4.677414116,3.18945411
3.089999914,3.442618059,4.608616458,3.451040344
4.050000191,3.397549938,5.162354141,4.431218818
3.410000086,3.804534826,4.674355984,1.743469518
7.150000095,3.664207517,5.005280873,4.651600954
3.170000076,3.984541047,5.410130125,4.724258226
2.460000038,5.003840997,5.620573187,4.572526626
3.670000076,3.07781882,5.306393285,4.891306116
2.130000114,3.716446714,4.450018771,2.079641248
2.180000067,4.655168353,5.061219861,3.472146261
5.03000021,3.150590571,4.593507186,3.119311591
2.200000048,3.74322793,5.382085713,4.765363637
5.550000191,3.480525233,4.755102181,3.482139074
3.109999895,4.079806333,5.074707664,3.986600488
6.010000229,3.271193909,4.689761615,3.314788206
3.75,3.677663226,5.522563057,5.054154351
2.039999962,4.82025424,5.52669676,4.649084407
5.829999924,3.134956487,4.663571385,2.552921828
3.950000048,3.570748216,4.779484967,2.727674939
4.630000114,3.554256522,4.690495178,2.35085795
1.779999971,4.196937669,5.301056502,4.51267746
2.230000019,4.295867021,4.569649583,0.133303084
4.5,3.554847888,5.462175236,5.086272516
3.369999886,3.20516205,5.266116467,4.841963149
3.359999895,3.782226287,4.880554627,3.454098698
2.25999999,4.271964176,4.666469655,1.065376486
2.920000076,3.266436335,5.065203605,4.257646891
4.489999771,3.597286763,5.074899249,4.251256829
8.220000267,2.712133396,4.446694882,3.785767757
3.059999943,3.619266249,4.584131606,2.808889689
2.480000019,3.879773035,4.936750226,3.630497035
3.640000105,3.995628621,5.330949043,4.562487813
1.340000033,5.568474603,6.101667733,5.460920226
3.640000105,3.707023723,5.408700145,4.809176959
1.75999999,3.662405702,4.551614981,0.881939852
6.409999847,3.408429216,4.869102419,4.179938633
6.78000021,3.219356125,4.487008555,2.847977033
4.28000021,3.352501477,4.961297917,3.906611818
3.319999933,3.339615267,4.788518616,3.585892457
3.930000067,3.604713159,5.356667997,4.818828179
3.470000029,2.957905947,4.615850265,3.728352292
2.130000114,3.588342875,4.443889395,-0.616424384
2.319999933,4.49419369,5.137144984,3.82104803
5.110000134,3.063372504,4.444584903,1.338527348
1.570000052,4.757280716,5.472627779,4.561700735
2.329999924,3.860926631,4.550464054,1.656320452
6.730000019,2.793813226,4.634060359,3.663464639
1.830000043,4.460868351,4.801212717,-2.472183219
6.489999771,2.890203457,4.706700544,3.651278418
1.399999976,5.307981576,5.936558198,5.230706666
